Nome,Idade,Sexo,Nome Mãe,Nascimento,Nome Pai,Número RG,Emissão RG,Emissor RG,Número CPF,Número CNH,Emissao CNH,Numero Titulo,Zona Eleitoral,Sessão
Bryan Heitor Freitas,22,M,Lúcia Freitas,18/03/1994,,17.407.510-8,,,115.960.855-50,32631728480,30/11/2010,,,
Lorenzo Erick Rocha,17,M,Geovana Rocha,11/10/88,Luis Rocha,30.564.031-8,13/04/2000,SSP/RS,667.829.115-82,12250102441,26/05/2011,674248470434,15,8
Alana Mariah Camila Cavalcanti,18,F,Luiza Cavalcanti,25/05/1998,João Cavalcanti,33.326.943-3,,,,,,776451172305,,
Mariah Sophie Ribeiro,32,F,Amanda Lavínia Maitê Ribeiro,02/02/84,Jonas Ribeiro,17.644.174-8,12/11/14,PC/PR,348.203.231-99,15429051303,23/09/2010,588531610680,1234,2
Amanda Lavínia Maitê Ribeiro,77,F,Valéria Ribeiro,12/09/39,Jonas Ribeiro Júnior,,,,123.416.102-85,,,525823411376,38,28
Matheus Bruno Marcos Vinicius Monteiro,80,M,Rosa Monteiro,14/11/1936,,21.106.440-3,27/01/2010,,701.388.550-99,,,517023000388,179,64
Raul César Ian Pereira,64,M,Maria Pereira,24/12/1952,Roberto Carlos Pereira,25.295.909-7,19/08/2010,SSP/SP,374.812.095-88,,,774372040140,37,18
Yuri Diogo Pinto,47,M,Luciene da Silva Pinto,06/01/69,Jorge Pinto,40.516.494-4,,,,,,261760560949,374,87
Miguel Carlos Eduardo Costa,47,M,Mara Costa,10/04/69,,13.977.649-7,15/07/2006,PC/RJ,834.421.837-31,,,748107560388,95,26
Henrique Cauã Rafael Nascimento,18,M,Solange Nascimento,27/07/1998,Moisés Nascimento,12.386.534-7,,,775.481.345-92,,,633022060230,12,28
Marcela Alice Pinto,18,F,Rosana Pinto,05/09/98,Yuri Diogo Pinto,30.706.335-5,28/02/2013,SSP/TO,558.243.532-80,,,,,
Manuela Brenda Camila Barros,18,F,Aline Barros,27/09/1998,Robson Barros,24.654.826-5,,,515.083.230-89,5127009351,28/2/2008,128636862461,91,13
Bárbara Luana Gabrielly dos Santos,27,F,Marcela dos Santos,23/09/1989,Silvério dos Santos,17.152.106-7,14/10/2015,SSP/PR,,11305547657,,733724160671,975,59
Arthur Hugo Fernandes,33,M,Rafaela Rosa Fernendes,22/10/1983,Róger Fernandes,24.540.373-5,,,713.715.215-57,95920091820,07/02/15,372280422100,29,27
Rafaela Manuela Freitas,37,F,Larissa Freitas,17/08/1979,,17.257.736-6,03/03/10,PC/MG,765.662.231-42,61723942037,,233610620264,795,29
Débora Maria Martins,37,F,Dulcinéia Martins,23/01/1979,Milton Martins,,,,768.821.607-91,51571389023,,152785350132,34,2
Carlos Eduardo Diogo Bernardo Carvalho,25,M,Mirna Carvalho,02/09/91,,15.497.864-4,,,292.608.046-80,41454034180,16/09/2015,278753231309,96,57
Fulano de Tal,12,M,Sicrana de Tal,01/01/01,Beltrano de Tal,,,,,,,658283680159,1,1
